Title,Artist,Count
The Gardener,The Tallest Man On Earth,34422953
Hello My Old Heart,The Oh Hellos,55161978
Holocene,Bon Iver,245647445
Wessex Boy,Frank Turner,5592630
River Man,Nick Drake,10702102
Beggar in the Morning,The Barr Brothers,7640749
Operating,Lady Danville,148526
John Brown,Papercuts,541886
This Wind,The Tallest Man On Earth,4488993
Walking Far from Home,Iron & Wine,4640774
Among the Leaves,Sun Kil Moon,2684472
Hopeless Wanderer,Mumford & Sons,77634972
The Stable Song,Gregory Alan Isakov,49506455
Pistol Dreams,The Tallest Man On Earth,6060110
Lindo Cihuatlan,Devendra Banhart,138111
Ashamed,Deer Tick,5799893
Chico The American,Field Report,164285
Home,Phillip Phillips,135346549
"Lay, Lady, Lay",Bob Dylan,45336357
How Come You Never Go There,Feist,18434196
In the Open,Benjamin Francis Leftwich,3631416
Book Of James,Augustines,1888340
A Lion´s Heart,The Tallest Man On Earth,5601612
WHALE,Yellow Ostrich,5693951
Dust Bowl Dance,Mumford & Sons,31148118
Emmylou,First Aid Kit,60555496
The Dress Looks Nice on You,Sufjan Stevens,12575833
"Green, Green Rocky Road",Oscar Isaac,7099597
A Case of You,Joni Mitchell,48541626
East Harlem,Beirut,16385512
In the Yard,Bowerbirds,1875426
This Song Is Called Ragged,Jonathan Boulet,1080850
New Ceremony,Dry the River,3189422
Old Man,Neil Young,72889376
We Don't Eat,James Vincent McMorrow,41541897
Old Pine,Ben Howard,156906256
Hustle,Tunng,3575937
Wishing Well,Cheyenne Marie Mize,1883236
Slow And Steady,Of Monsters and Men,55934273
A Gentle Few,Joe Pug,908337
In The Midnight,Langhorne Slim,1808543
Tickle Me Pink,Johnny Flynn,4236717
Lovers' Eyes,Mumford & Sons,42478949
Vistate,OMBRE,195101
One Red Thread,Blind Pilot,9656318
The Wrote & The Writ,Johnny Flynn,11125411
The Cascades,Fleet Foxes,14613169
First Day Of My Life,Bright Eyes,161708687
Pretty Girl From Chile,The Avett Brothers,1839681
Elegy,Hey Marseilles,2769312
Breaking the Yearlings,Shearwater,550738
January Hymn,The Decemberists,3772834
Below My Feet,Mumford & Sons,41135478
Sudden Elevation,Ólöf Arnalds,429979
We Found Each Other In The Dark,City and Colour,12037264
Dead & Gone,These United States,531638
Lightning Bolt,Jake Bugg,49396101
Magpie,Beth Orton,1332528
Let It Be Me,Ray LaMontagne,48992220
Devil's Spoke,Laura Marling,10701599
Oh Boy!,She & Him,869761
Salt in the Wound,Delta Spirit,1513581
No One's Gonna Love You,Band of Horses,57664595
Burn,Ray LaMontagne,7349003
Little Boxes,Pete Seeger,3292441
Wild World,Yusuf / Cat Stevens,277893
Honey Come Home,The Head and the Heart,9772060
The Funeral,Band of Horses,206970746
Troubles Will Be Gone,The Tallest Man On Earth,6902403
Breezeblocks,alt-J,353722773
Only Love,Ben Howard,228519755
