,Title,Artist,Rank,Peak Position,Last Position,Weeks,Lyrics
44,223's,YNW Melly & 9lokknine,45,34,42,7,"ransom - lil tecca bezerk - big sean, a$ap ferg, hit-boy bad bad bad - ng thug lil baby big rocks - quality control, offset, ng thug baguettes face - mustard, nav, playboi carti, boogie wit da hoodie money grave - drake rick ross babushka boi - a$ap rocky baby - quality control, lil baby, dababy shots - lil tecca london - ng thug, j. cole, travis scott costa rica - dreamville, bas, jid, guapdad , reese laflare, jace, mez, smokepurpp, buddy, ski mask slump god shotta flow remix - nle choppa blueface sociopath - pusha kash doll tap - nav meek mill - lil tecca 's - ynw melly lokknine panini - lil nas x double trouble - quality control, quavo, meek mill f.n - lil tjay pose - yo gotti lil uzi vert hot - ng thug gunna guidance - chris brown drake baby birkin - gunna da storm - polo g hot shower - chance rapper, madeintyo, dababy hot girl summer - megan thee stallion, nicki minaj, ty dolla $ign suge- dababy big - ng m.a daddy - blueface rich kid cap - babies rich kid never lie - wiz khalifa moneybagg yo mac - trippie redd, lil baby, lil duke ballin’ - mustard roddy ricch late - swae lee drake earfquake - tyler, creator bussin - blueface lil pump handsome - chance rapper megan thee stallion baby sitter - dababy offset cash shit - megan thee stallion dababy mud - lil baby future shooters - future, doe boy, meek mill jet lag - a$ap ferg go loko - yg, tyga, jon z broke fuck - ybn cordae uno - ambjaay type remix - saweetie, jhene aiko, city girls gold roses - rick ross drake #proudcatownerremix - xxxtentacion rico nasty what? - vince staples oprah - rapsody leikeli"
45,Wow.,Post Malone,46,2,47,44,"said tired little money, need big boy pull inch blades like  lil’ troy everybody flockin', need decoy shawty mixing vodka lacroix, yeah g-wagen, g-wagen, g-wagen, g-wagen housewives pullin’ (up, up) got lot toys, bumpin' fall boy talkin' shit beginning (mm-mm) back feelin' forgivin' (more forgivin') know piss see winnin' (see winnin') see igloo mouth grinnin’ (i grinnin’), yeah hunnid bands pocket, hunnid deep roll like army get bottles, bottles lonely it’s moment show up, got 'em sayin', 'wow' (wow, wow) hunnid bands pocket, (on me) yeah, grandmama probably know (know me) get bottles, bottles lonely it’s moment show up, got 'em sayin', 'wow' (wow, wow) everywhere go (hey) catch block like  mutombo (wow) lambo utah snow (skrrt) trunk front like shit dumbo, yeah cut roof like nip-tuck pull house big butts turn kitchen counter strip-club (yeah, wow) dre came the... got guap, y'all appeared (wow) dropped stoney, none y'all really cared (cared) always say, 'congratulations,' kid (kid) ,  pourin' shit (yeah) used lot, got (yup) made another hit 'cause got bored (yup) always goin' it, never punt fourth last call, hail mary, prescott touchdown, ayy hunnid bands pocket, (on me) hunnid deep roll like army (hey) get bottles, bottles lonely moment show up, got 'em sayin', 'wow' (wow, wow) hunnid bands pocket, (yeah, yeah) yeah, grandmama probably know (yeah, yeah) get bottles, bottles lonely moment show up, got 'em sayin', 'wow' got 'em sayin', 'wow' ayy, ayy, wow sayin', 'wow' wow wow"
46,Lonely Child,YoungBoy Never Broke Again,47,44,44,2,"pipe shit up, tnt wanna loved d-mac fuckin' track don’t nobody understand though tahj money way came game image put expect feelings know probably seem like that’s talk like ain't human,  still  still streets  still thuggin' niggas put under, yeah that's livin' that's going out, hear me? open mouth say, mama,  sorry got ice burned heart road hard  chosen?  heartless, so, heartless ain't know age, , killed lil dave mind rage,  way ng feel pain ain't know fade, dove 'cause  man love girl death, get old, feelings change pay therapy thoughts ahead keep draggin' me, play keeps, scared cannot barely, barely sleep even breathe cannot hold without side never knew fame would take ones love ‘way wanna see kacey bad, can't seem call nene go pen pad, got shit right sleeve right candle burning wax,  feelin' like burnin'  lonely child wants someone help out, oh, oh, ah, ah take pain away, pain away head runnin' wild, wild fell love kaylyn, without even knowin' bitch done snaked  missin' yaya daily, one make feel basic happiness  chasin', killers behind tryna blank know  feelin'  thinkin' can't change miss fuckin' daddy, i've callin' montana father times gettin' harder came nothing, bitch,  royal call monique mama, lord knows need sheronda need commas,  feeling like  going paw-paw getting old, gone,  right  alone, pray grandmom keep strong can't even leave home, bracelet beeping plus  wan' gone, son straight, money long tell feelin', hope help ngins north, pray y'all gon' make bitches comin' 'round, even like songs i'll burn town, niggas bust dome wish hear dump say, 'what up, lil brother,' one time killing shit plus dying  gon' go behind brother, fuck charge, slang iron go ride  lonely child wants someone help out, oh, oh, ah, ah take pain away, pain away head runnin' wild, wild  lonely child need someone help out, oh, oh, ah, ah take pain away, pain away thoughts runnin' wild oh, oh lord need help life real hard way approached game, seem  hard got feelings like lil' boy, oh lord  grandmom baby"
47,Good Vibes,Chris Janson,48,48,48,8,"ain't watching tv today bad news, stay away ain’t got anything good say shut mouth got windows blinders radio set favorite song green lights road  man, ain't doubt i’m getting good vibes  living good life  breathing god's time ain't gonna waste one breath  soaking got full cup ain't nothing gonna spill nothing gonna kill waving worries goodbye  feeling good vibes ain’t tryna hear negative i’m tryna change narrative simply imperative damn good time i’m getting good vibes  living good life  breathing god's time ain’t gonna waste one breath  soaking got full cup ain't nothing gonna spill nothing gonna kill waving worries goodbye  feeling good vibes oh,  feeling good vibes got good girl got good smile kiss good morning kiss good night keep that's get coming around unless got good vibes  living good life  breathing god's time ain't gonna waste one breath  soaking got full cup ain't nothing gonna spill nothing gonna kill waving worries goodbye  feeling good vibes  breathing god's time ain't gonna waste one breath  soaking got full cup ain't nothing gonna spill nothing gonna kill waving worries goodbye  feeling good vibes oh,  feeling good vibes yeah"
48,Love You Too Late,Cole Swindell,49,49,60,12,"wish whiskey would make miss like wish did, wish pouring another one change done left, that's left mile mile city city gettin' me, man ain't pretty, rolling old interstate wide open, wide open make stay probably cranking new freedom song wide open, wide open pick phone  dying tonight staring goodbye face saying love late late can't take back never said could, man would try make see tennessee want back wish worked like yeah half clue headed i'd make turn car around rolling old interstate wide open, wide open make stay probably cranking new freedom song wide open, wide open pick phone  dying tonight staring goodbye face saying love late late yeah, held close let know felt 'bout couple county lines ago rolling old interstate wide open, wide open make stay probably cranking new freedom song wide open, wide open pick phone  dying tonight staring goodbye face saying love late late yeah love late can't take back never said could, damn would"
49,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,50,8,51,7,"czuję, jak kruszysz się w mych rękach, aż twego serca z kamienia wykrwawiłaś mnie sucha, tak jak łzy, których nie ukazujesz dlaczego nie weźmiesz tego, czego ode mnie chcesz? wziąć tego, co chcesz ode mnie wziąć tego, co chcesz pójść dlaczego nie weźmiesz tego, czego ode mnie chcesz? wziąć tego, co chcesz ode mnie wziąć tego, co chcesz pójść nigdy niczego nie potrzebowałem od ciebie wszystko, co zapytałem było dla prawdy (wszystko, co zapytałem było) pokazałaś swój język, był w parze rozwidlony twój jad był śmiertelny, prawie tobie uwierzyłem (prawie tobie uwierzyłem) tak, żerowałaś na każdym moim błędzie czekałaś na mnie, powstrzymywałaś mnie od wierzenia, że utonę marnowałem siebie, jak plagę próbuję szukać swojej drogi wyjścia, szukać swojej drogi wyjścia (szukać swojej drogi wyjścia) nareszcie przyszedł ten dzień zacząłem oddawać swoje serce na litość boską, kości mi się złamią ale nigdy nie nabędziesz mojej duszy, nie-e czuję, jak kruszysz się w mych rękach, aż twego serca z kamienia wykrwawiłaś mnie sucha, tak jak łzy, których nie ukazujesz dlaczego nie weźmiesz tego, czego ode mnie chcesz? wziąć tego, co chcesz ode mnie wziąć tego, co chcesz pójść dlaczego nie weźmiesz tego, czego ode mnie chcesz? wziąć tego, co chcesz ode mnie wziąć tego, co chcesz pójść wziąłem kamienie, którymi rzucałaś, zrobiłem łańcuchy dla ekipy (lód) wziąłem ze sobą dziesięć dziwek, ta fura była stworzona dla dwóch (tak, panie) przebiegały przez nią, nic nie pozostało zrobienia potrzebuję więcej powodów, aby żyć tego wieczoru (prosto w górę!) ja piłem na zawsze brałem cokolwiek wierzyłem myśleniu, że ty kiedyś wrócisz pójdźmy naszymi własnymi drogami, którąkolwiek mówisz, że jak, jakkolwiek długo bo wiesz, że ja nigdy nie będę sam (tak) miłość (miłość, tak) laska będzie się ruszać (laska będzie, laska będzie się ruszać) potrzebuję tego na widoku (potrzebuję tego na, potrzebuję tego na widoku) zepsuj wszystko (zepsuj to, zepsuj wszystko) daj jej tą lufkę (daj jej tą, daj jej tą lufkę) cały mój gang (cały mój, cały mój gang) laska stała się zła (laska stała się, laska stała się zła) czuję, jak kruszysz się w mych rękach, aż twego serca z kamienia wykrwawiłaś mnie sucha, tak jak łzy, których nie ukazujesz dlaczego nie weźmiesz tego, czego ode mnie chcesz? wziąć tego, co chcesz ode mnie wziąć tego, co chcesz pójść dlaczego nie weźmiesz tego, czego ode mnie chcesz? wziąć tego, co chcesz ode mnie wziąć tego, co chcesz pójść weź wszystko dlaczego nie (weź to, co chcesz, weź to, czego potrzebujesz) weź to, czego potrzebujesz ode mnie, tak (weź to, co chcesz) dlaczego nie (weź to, czego potrzebujesz) (czego potrzebujesz, tak)"
50,Dance Monkey,Tones And I,51,51,75,3,"say, 'oh god, see way shine take hand, dear, place mine' know stopped dead passing beg see dance one time ooh, see , see , see every time oh my, i, like style , make me, make me, make wanna cry beg see dance one time say dance me, dance me, dance me, oh-oh-oh i've never seen anybody things say move me, move me, move me, ayy-ayy-ayy ’re done, i'll make said, 'oh god, see walking take hands, dear, look eyes' like monkey, i've dancin’ whole life beg see dance one time ooh, see , see , see every time oh my, i, like style , make me, make me, make wanna cry beg see dance one time say dance me, dance me, dance me, oh-oh-oh i've never seen anybody things say move me, move me, move me, ayy-ayy-ayy done, i'll make say dance me, dance me, dance me, oh-oh-oh, oh-oh, oh-oh i've never seen anybody things say move me, move me, move me, ayy-ayy-ayy done, i'll make ooh, ooh, ooh, ooh, ooh (do again, again, again) oh-oh, oh-oh, oh ooh, ooh, ooh, ooh, ooh-ooh (do again, again, again) ooh, ah-ah, ah-ah say dance me, dance me, dance me, oh-oh-oh i've never seen anybody things say move me, move me, move me, ayy-ayy-ayy ’re done, i’ll make say dance me, dance me, dance me, oh-oh-oh, oh-oh, oh-oh i've never seen anybody things say move me, move me, move me, ayy-ayy-ayy ’re done, i'll make"
51,Liar,Camila Cabello,52,52,53,7,"care alone care, long kinda like happen way lips move way whisper slow care, good gone (ah) said lose control, want (ooh) said get close, can't stop oh no, go, making liar got begging oh no, go, startin' fire oh no, (oh no) oh no, go, making liar kinda like though oh no, go, startin' fire oh no, (ooh) they're watching, feel (hey) know stay (yeah, yeah) picture hands (i think wanna let happen) if, kiss me? (yeah) if, like it? one sees said lose control, want (ooh) said get close, can't stop (no) oh no, go, making liar got begging oh no, go, startin' fire oh no, (oh no) oh no, go, making liar kinda like though oh no, go, startin' fire oh no, oh no, no, yeah, comes trouble, no, startin' fire believe say need , oh believe say so, believe oh no, go, making liar got begging oh no, go, startin' fire oh no, (oh no) oh no, go, making liar kinda like though oh no, go, startin' fire oh no, yeah uh, yeah, yeah nah, yeah oh no, no, oh no, no, oh no, making liar 'cause clothes floor huh, huh, huh uh oh no, no, another fire"
52,The Git Up,Blanco Brown,53,14,49,20,"right need get real loose get comfortable grab loved ones grab love, partner rself, worries follow go'n two-step, cowboy boogie grab sweetheart spin 'em hoedown get (woo-hoo-hoo) take left dip go'n throw down, take sip lean back, put hips (woo-hoo-hoo) let's fun left, left (to left, left) right, right (to right) take left hand (uh) put side (put side) go'n roll shoulders (roll shoulders) slip slide (do slip slide) next part's favorite part, uh 'cause time shine go'n two-step, cowboy boogie grab sweetheart spin 'em hoedown get (woo-hoo-hoo) take left dip go'n throw down, take sip lean back, put hips (woo-hoo-hoo) simple, slide left (left), slide right (right) cool (hoo), good time (yeah) slide left (left), slide right (right) butterfly (oh), good time 'round, 'round, 'round 'round go time show right take floor go'n two-step, cowboy boogie grab sweetheart spin 'em hoedown get (woo-hoo-hoo) take left dip go'n throw down, take sip lean back, put hips (woo-hoo-hoo) (to left) take now, take it, take take now, take it, take (to right) bring now, bring it, bring bring now, bring it, bring (to front) take crisscross bring up, crisscross (to back) whatever like right (get down) fun go'n two-step, cowboy boogie grab sweetheart spin 'em hoedown get (woo-hoo-hoo) take left dip go'n throw down, take sip lean back, put hips (woo-hoo-hoo), uh bad, was, that, bad, it? bad, that, that, bad, it? bad, was, that, bad, it? bad, that, that, bad, it? go'n two-step, cowboy boogie grab sweetheart spin 'em hoedown get (woo-hoo-hoo) take left dip go'n throw down, take sip lean back, put hips (woo-hoo-hoo)"
53,I Don't Know About You,Chris Lane,54,39,52,16,"don’t know never come bar thursday o’clock thought hell, not? don’t know never walk talk stranger saw to, girl, know favourite beer 'cause told bought leave sitting right feel like talking what’s name, what’s sign, what’s birthday? what’s wrist tattoo bible verse say? tell this, kiss first date? don’t hold anything back (don’t hold anything back) what’s dream job? girl, where’s hometown? yeah, makes world spin round around? get too? tell everything till there’s nothing don’t know don’t know dip, slip back flee scene, put feet dash find spot past railroad tracks never look back what’s name, what’s sign, what’s birthday? what’s wrist tattoo bible verse say? tell this, kiss first date? don’t hold anything back (don’t hold anything back) what’s dream job? girl, where’s hometown? yeah, makes world spin around around? get too? tell everything till there’s nothing don’t know know like bud light know got blue eyes know got heart beating bar tonight jump in, fall something perfect place start what’s name, what’s sign, what’s birthday? what’s wrist tattoo bible verse say? tell this, kiss first date? don’t hold anything back (don’t hold anything back) what’s dream job? girl, where’s hometown? yeah, makes world spin around around? get too? tell everything till there’s nothing don’t know tell everything, tell everything tell everything till there’s nothing don’t know tell everything, tell everything tell everything till there’s nothing don’t know"
54,BOP,DaBaby,55,19,54,4,"know everybody waiting baby, man mean, like ever since baby baby dropped, man, like, know (ever since baby baby dropped) ain't nobody drop shit (oh lord, jetson made another one) let's go, hah needed shit bop (let's go) flew past whip blunt mouth watch swervin', whip cop (woo) bitch got good pussy, fly 'cross country finish show hop got milli', legit-ly  still shits,  hot nigga (hot) oh, asking pictures niggas? (huh?) what's name? get fuck spot, nigga (get fuck) tryna figure deal a take (uh-huh) woke up, couple mil' plate (let's eat)  investing real estate (uh-huh) went gave mama hundred (a hundred) probably hear open mouth 'less hearin' talkin' 'bout finding money (let's go) soon found it, flipped (flip)  little bit different, get (they dig) know  stiff bitch dig tryna find baby ain't mentions (hah) no, ain't get dm (bitch) rich nigga dick, ain't free throwin' ass, yeah, good turn around fuck, make look (uh, like, hah) needed shit bop (let's go) flew past whip blunt mouth watch swervin', whip cop (woo, okay) bitch got good pussy, fly 'cross country finish show hop (yeah) got milli', legit-ly  still shits,  hot nigga (hot, let's go)  unorthodox motherfucker ayy, gon' switch flow? thought never ask niggas ain't fuckin' ain't 'bout fuck rappin' 'bout lil' scary ass (hah) own, nigga (huh) like it, love it, biggie (no big) boy say get money, oh, really? much cut check for? milli'  going back cali like biggie (go back) 'bout go get pound smoke (i smoke) told come work album  tryna go find price boat (okay) lil' bitch act like megan thee stallion ghetto nasty, drivin' boat (drive boat) shit makin' boring play something bop ride pole go (uh, oh, hah, okay) needed shit bop (let's go) flew past whip blunt mouth watch swervin', whip cop (woo) bitch got good pussy, fly 'cross country finish show hop got milli', legit-ly  still shits,  hot nigga ( hot) like, shit feel like, know sophisticated ratchet hoes, know ones go work day, then, know dance mirror night (hah) needed shit bop (okay, let's go) flew past whip blunt mouth watch swervin', whip cop (woo) bitch got good pussy, fly 'cross country finish show hop got milli', legit-ly  still shits,  hot nigga ( hot) oh, asking pictures niggas? what's name? get fuck spot, nigga (get fuck) tryna figure deal a take (uh-huh) woke up, couple mil' plate"
55,Hot Girl Bummer,blackbear,56,56,61,6,"fuck , , hate friends hate  through,  through,  hot girl bummer anthem turn throw tantrum hot girl bummer anthem turn throw tantrum throw birkin bag hook someone random social awkward suicide bite lips buy likes swear man shit hit different thursday night college dropout music everyday leg day, thicc friends annoying go dumb, yeah, go stupid k table secluded vodka came diluted one line,  superhuman fuck , , hate friends hate  through,  through,  hot girl bummer anthem turn throw tantrum fuck , , hate friends hate fuck , , hot girl bummer anthem turn throw tantrum hot girl bummer two-step can't box in,  left drip, like oceans can't fit trojan pocket,  always bag yeah, that's slogan that, 'who's there?'  pullin' wit' emo chick that's broken college dropout music everyday leg day, thicc friends annoying go dumb, yeah, go stupid k table secluded vodka came diluted one line,  superhuman fuck , , hate friends hate  through,  through,  hot girl bummer anthem turn throw tantrum fuck , , hate friends hate fuck , , hot girl bummer anthem turn throw tantrum college dropout music everyday leg day, thicc friends annoying go dumb, yeah, go stupid college dropout music everyday leg day, thicc friends annoying go dumb, yeah, go stupid go stupid, go stupid, go— want change? fuck ! fuck , , hate friends hate  through,  through,  hot girl bummer anthem turn throw tantrum fuck , , hate friends hate fuck , , hot girl bummer anthem turn throw tantrum"
56,VIBEZ,DaBaby,57,21,58,4,"let's go (yeah, yeah, neeko, made motherfuckin' beat? ah, nah) know baby, nigga, hahaha hah (oh lord, jetson made another one), ha wanna fuck me, got time (mmh, mmh) hopped private plane went hopped (yeah) go call chauffeur, bitch, 'cause like drive suburbans back back gon' fill 'em vibes (let's go) fill 'em vibes (yeah), get ride (yeah, yeah) no, nigga blind (uh-uh) keep stick  firin' (bitch) ain't met nigga life that's fuckin' me, say did, lyin' (mmh, mmh) got many vibes stuffed car fuck hoes six time (no cap) make hoes say, 'that nigga fine' (ooh) 'girl, got dick feel spine' (yeah) yeah, say baby know bitches play baby baby go run president look god did, took time (yeah, yeah) got red white ho like peppermint (ooh) book hotel, take vibes gon' fuck fuck brethren (uh) brother 'nem, havin' three hoes king size ain't finished yet (mmh), get another bitch (mmh) got ridin' dick screamin', 'yeehaw' (mmh, mmh, mmh, mmh) make proud, girl, cowgirl (huh?) handstand,  like, 'wow, girl' (okay, okay) got fuckin' upside-down (ooh, mmh), baow, baow yeah, goin' dumb, say wanna cum (mmh)  lookin' like, 'when?' lookin' like, 'now' came in, say want tagged brother, bitch,  (bye), know wanna fuck me, got time (mmh, mmh, yeah) hopped private plane went hopped (yeah) go call chauffeur, bitch, 'cause like drive suburbans back back gon' fill 'em vibes (let's go) wanna fuck me, got time (mmh, mmh) hopped private plane went hopped (yeah) go call chauffeur, bitch, 'cause like drive suburbans back back gon' fill 'em vibes (look) let's get jet (yeah), come give neck (yeah, yeah) ain't pickin' (huh?), nigga called, gon' send text need doc', bitch, know  dog, better send vet ever made million? tell 'em, 'riddle that,' ain't offended yet bitch drink bacardi,  bitch feelin' like 'set (okurr), quarter mil' neck one-point-two crib, four hundred thou' whip, dickin' lil' bitch  'bout go buy coupe (zoom) pull up, make doors raise roof (yeah) louis v army fatigue (yes, sir) hop pole like troop (yeah, get there) baby ray allen three (swish) leave open, shoot (baow, baow) like martin pam hotel (uh) kickin' hoes out, get boot (mmh) hoes catchin' bodies, 'bout (yeah) new vibes lobby (new vibes) that's wherever go, ain't problem (no problem) told bitch no, childish (bye) pulled like wanna fuck me, got time (mmh, mmh) hopped private plane went hopped (yeah) go call chauffeur, bitch, 'cause like drive suburbans back back gon' fill 'em vibes"
57,Make No Sense,YoungBoy Never Broke Again,58,57,57,2,"buddah bless beat feel like  gucci mane diamonds dancing fucking neck cost like four bricks way toting strap don’t make sense million dollar nigga posted bricks, uh make sense, yeah, make sense, uh make sense, goddamn, make sense, yeah, uh make sense, nah, uh, make sense, ngboy make sense, nah, make sense, slime could hit it, could whip it, could bag it, could stash could trap like motherfucker know me, bitch, bought another burner ( burner) whip hard, got ike meech, got tina turner (whippin' hard) make sense, i’m alright, bitch, i'll put ain't cut much, got shit make 'em tweak like damn can't front trap much, world know (i am) shit ain't sweet, close me, see 'em hatin' like damn know get money, still gon’ one slay ’em like nigga, uh, nigga nigga, bitch, nigga, baow, jewelry (fuck jury) feel like  gucci mane diamonds dancing fucking neck cost like four bricks way toting strap don’t make sense million dollar nigga posted bricks, uh make sense, yeah, make sense, uh make sense, goddamn, make sense, yeah, uh make sense, nah, uh, make sense, ngboy make sense, nah, make sense, slime ktrey, bob, that, bitch, notice tell niggas say fuck 'em hoes ain't shit, want cash, i'll never love ’em (stupid bitch) flash beat nigga ass fifty ball (i need clique) tv, could tell ngin hit cutter (motherfuck nigga) that's bar, real nigga blessed bar say yeah-eah h, play, shoot face (northside) bullets flying, back back, bitch, ride  convicted, issue, i'll slide slide die today, bitch, say four pussy niggas died 'fore died, slime feel like  gucci mane diamonds dancing fucking neck cost like four bricks way toting strap make sense million dollar nigga posted bricks, uh make sense, yeah, make sense, uh make sense, goddamn, make sense, yeah, uh make sense, nah, uh, make sense, ngboy make sense, nah, make sense, slime"
58,Baby Sitter,DaBaby Featuring Offset,59,59,72,11,"know ain't come play, let’s get (turn up)  snappin' rip ho say i’m favorite nigga (hah) probably wan' let baby mama take picture (why? go grizz) 'cause  type baby that's gon' fuck babysitter (marii beatz, turn up) show pulled laughin' hatin’ nigga (hah) bitches aimin’ y'all fast, i’m rapper niggas' ass pulled . out, better angel tryna book show, gotta pay 'fore go feed family, ain't got time play niggas (ayy, see?) see niggas think tough, play me, know it’s think sweet call bluff a spank nigga (yeah) fuck niggas whoever got hangin' 'em, bitch a die old age whenever die (what gon' do?) walk nigga, fuck drive-by (yeah) bitch came ain't mine, mine (she mine) free cousin 'til free, doin' time time (let free)  motherfuckin' best  khaled (ayy, best) like dressin', ain't salad (uh-huh) can't fuck her, messy, that's hazard (oh no) tell ref blow whistle, bitch traveled (brrt) fuck talkin', 'bout action (what 'bout?) got son, play me, son bastard (haha) nigga trippin', laughin'? nah, that's fucked up, bro, ain't goddamn bring kids know ain't come play, let's get (turn up)  snappin' rip ho say  favorite nigga (hah) probably wan' let baby mama take picture (why? go grizz) 'cause  type baby that's gon' fuck babysitter (marii beatz, turn up) show pulled laughin' hatin' nigga (hah) bitches aimin' y'all fast,  rapper niggas' ass pulled . out, better angel fuck niggas whoever got hangin' 'em, bitch shawty wanna famous, it? (who?) say want patek name (patek, patek) gotta fuck opp get 'em painted, earn (stripes, woo)  drippin', slippin', socks got gucci gang 'em (drippin',  drippin') squeeze fire, make 'em back, back, back, back got fleas, shoo fly, nat, nat, nat, nat (nat)  lean, high, batch, can't match (nah) got fiends line, shippin' packs back impossible (hoo) read defense, called audible (switch) look like sequence, lambo' keep back back crawlin' (skrrt) said shit, fuck it, go hard (fuck it) , sparta man (sparta)  barbarian (barbarian), a get revenge (mine) fuck thot spot, tell car  (no) keepin' head water like shark fin (shark) got narcs (narcs), chopper clark kent (graow) get boxed (hey) know ain't come play, let's get (turn up)  snappin' rip ho say  favorite nigga (hah) probably wan' let baby mama take picture (why? go grizz) 'cause  type baby that's gon' fuck babysitter (marii beatz, turn up) show pulled laughin' hatin' nigga (hah) bitches aimin' y'all fast,  rapper niggas' ass pulled . out, better angel fuck niggas whoever got hangin' 'em, bitch"
59,Cash Shit,Megan Thee Stallion Featuring DaBaby,60,36,59,18,"real hot girl shit yeah,  bag,  that's every time see me, got new shoes ah, mwah, ayy, look lil ju made beat bitch,  star, got niggas wishin' say hungry, pussy kitchen yeah, that's dawg, gon' sit listen call trick get off', hold bitch,  star, got niggas wishin' say hungry, pussy kitchen yeah, that's dawg, gon' sit listen call trick get offended know giving money megan know expensive date told go put name account need money, ain't tryna, hold know giving money megan know expensive date told go put name account need money, ain't tryna wait can't fucked with, ho can't touch this, ayy bitch, rich shit, huh money thick thick, ayy walk limp, limp, huh  pimp shit, ayy say, ' money,' yeah  cash shit, huh  bag, bitch, huh  ass, bitch, huh  new new shit last year, huh bitch, pimp shit, huh ho, simp shit, ayy say, ' money,' yeah  cash shit, ah know bitches love me? (why?) 'cause baby give fuck (what do?) fixin' weave suckin' dick pull out, tittyfuck (uh, uh) fuck back nasty, killin' know give (yeah, yeah) cool 'em, bitch, ain't pressure (uh-uh) 'til met lil' freak, name megan (ooh) lil' thing stallion, look walk look talk, sexy (mwah) like pretty ghetto (uh-huh) type bitch even say hello (yeah, yeah) whenever fuck, fuckin' back put headlock elbow (mmh) done reversed got dick ride shit like camaro, uh can't fucked with, ho can't touch this, ayy bitch, rich shit, huh money thick thick, ayy walk limp, limp, huh  pimp shit, ayy say, ' money,' yeah  cash shit, huh  bag, bitch, huh  ass, bitch, huh  new new shit last year, huh bitch, pimp shit, huh ho, simp shit, ayy say, ' money,' yeah  cash shit, ah (hey, hey, look) stressin' 'bout none niggas talkin', even listen tellin' secrets, probably forget a tune say gon' lick told 'em send pic 'cause miss told send stack really trusting tricks 'cause tricky send pic somebody else titties  finesser  fly dresser move top floor flew dresser bitches hustle, make money together bitches birds flockin' together can't decide want new louis dapper dan yellow,  always gucci mama bring dad mall 'cause know choosin' can't fucked with, ho can't touch this, ayy bitch, rich shit, huh money thick thick, ayy walk limp, limp, huh  pimp shit, ayy say, ' money,' yeah  cash shit, huh  bag, bitch, huh  ass, bitch, huh  new new shit last year, huh bitch, pimp shit, huh ho, simp shit, ayy say, ' money,' yeah  cash shit, ah"
60,Every Little Thing,Russell Dickerson,61,61,65,8,"who! huh, yeah baby, alabama dixie land delight, kissin' like molasses slow sweet, mhm, right endless august summer, yeah, sunshine -- forgets punch line, still gets every time 'cause love every little, every little, every little thing love little, little, little ain't enough gotta get a, gotta get a, get little  hung up, 'cause love every little, every little, every little thing love yeah, seattle sonoma runs coffee red wine easy like sunday morning wild like saturday night -carat goodness, angel's see dresses everything, dress love every little, every little, every little thing love little, little, little ain't enough gotta get a, gotta get a, get little  hung up, 'cause love every little, every little, every little thing love yeah! who! come on! woah, hey! baby, alabama dixie land delight everybody's dream girl, mine love every little, every little, every little thing love little, little, little ain't enough gotta get a, gotta get a, get little  hung up, 'cause love every little, every little, every little thing love love hey, hey, yeah who, hey, hey! love"
61,Self Control,YoungBoy Never Broke Again,62,50,50,7,"drum dummie cashmoneyap dj swift track a leave came for, sayin'? wan' take there, go us, nah walked styrofoam cup plenty racks hands ain't come lose, want smokin' dro 'cause need could calm instead dangerous see niggas know quick let blow reason kick door, post front porch, ain't leavin' grandma died, beat odds easy boozilla died, almost lost mind, broke pieces slangin' iron dump rest, ain't secret across neck, boys want beef smokin' dro, smell hit door, 'cause need ain't one, pussy niggas know fiendin' hop car diamonds 'round throat, bitch,  beamin' think nigga can't see me, paranoid  leanin' smokin' dro 'cause need could calm instead dangerous see niggas know quick let blow reason kick door, post front porch, ain't leavin' a leave came for, sayin'? wan' take there, go us, nah walked styrofoam cup plenty racks hands ain't come lose, want whole lot racks vv's  slime, glock, got green beam got whole lot people need bust head right thing ain't got nothin' dub black card inside ami' jeans want head, can't fuck bed, things excite testin' gun inside backyard, let hit, get aim ngin official, wait backyard, call bang thug wake morning, get fresh bitch, a walk dior margielas way gon' dump boy stick, a finish four nickel thinkin' 'bout dump time, shit feel right go club, takin' drugs, ridin' keepin' steel tight every night 'fore sleep, think 'bout north side grew up, ho type play, put sleep could see (bitch) pull sight a leave came for, sayin'? wan' take there, go us, nah walked styrofoam cup plenty racks hands ain't come lose, want smokin' dro 'cause need could calm instead dangerous see niggas know quick let blow reason kick door, post front porch, ain't leavin'"
