,Title,Artist,Rank,Peak Position,Last Position,Weeks,Lyrics
10,Memories,Maroon 5,11,11,12,5,"here's ones got cheers wish here, 'cause drinks bring back memories everything we've toast ones today toast ones lost way 'cause drinks bring back memories memories bring back, memories bring back there's time remember, know pain believed forever, everything would stay heart feel like december somebody say name 'cause can't reach call , know one day, yeah everybody hurts sometimes everybody hurts someday, ayy-ayy everything gon' alright go raise glass say, ayy here's ones got cheers wish here, 'cause drinks bring back memories everything we've toast ones today toast ones lost way 'cause drinks bring back memories memories bring back, memories bring back doo-doo, doo-doo-doo-doo doo-doo-doo-doo, doo-doo-doo-doo doo-doo-doo-doo, doo-doo-doo memories bring back, memories bring back there's time remember never felt lost felt hatred powerful stop (ooh, yeah) heart feel like ember lighting dark i'll carry torches ya know i'll never drop, yeah everybody hurts sometimes everybody hurts someday, ayy-ayy everything gon' alright go raise glass say, ayy here's ones got (oh-oh) cheers wish here, 'cause drinks bring back memories everything we've (no, no) toast ones today (ayy) toast ones lost way 'cause drinks bring back memories (ayy) memories bring back, memories bring back doo-doo, doo-doo-doo-doo doo-doo-doo-doo, doo-doo-doo-doo doo-doo-doo-doo, doo-doo-doo memories bring back, memories bring back doo-doo, doo-doo-doo-doo doo-doo-doo-doo, doo-doo-doo-doo doo-doo-doo-doo, doo-doo-doo (ooh, yeah) memories bring back, memories bring back yeah, yeah, yeah yeah, yeah, yeah, yeah, yeah, no, memories bring back, memories bring back"
11,Bandit,Juice WRLD & YoungBoy Never Broke Again,12,10,10,3,"funny, shit put song ain’t gon' sound nothin' like shit doin’ oh, yeah want bad bitches baddest, bitches baddest, uh, uh take molly,  savage uh, say, uh need molly savage, uh  molly, feel savage, uh, uh definition bad bitch stole her,  definition bandit, uh, ayy need molly savage, uh, ayy  molly, feel savage ayy, girl definition bad bitch stole heart,  definition bandit put percs picked jiggas, jiggas, jiggas tommy fucking tommy hilfiger, ’figer, ’figer tommy hit nigga, tommy hilfiger, fuck niggas  nice, i’m high pills, a fuck smoke skunk, tonight  getting stuck, nigga pour codeine put molly cup know freak, uh-huh, gon’ fuck velcro, uh-huh, guess  stuck dive like sailor, love nail addicted paraphernalia, tell see like fortune teller ex-nigga good, could better bad bitch woods, think hunter killer eater, jeffrey dahmer tell feelings, read like book tec, beretta, fn me, understood? yeah, yeah, yeah need molly savage, uh  molly, feel savage, uh, uh definition bad bitch stole her,  definition bandit, uh, ayy need molly savage, uh, ayy  molly, feel savage ayy, girl definition bad bitch stole heart,  definition bandit brother point bad bitch,  must ain't heard  savage, get bitch, see got swag, got cash want see four-five pants, put ass, push bruh shawty, rider glizzy (with glizzy her) shawty, a die semi (semi me) got problem, get rid homie (yeah) put twenty thousand pocket, gon' get money (yeah)  definition bandit (come on, bruh) took heart hands still ain't saying shit (honest) new killers circle done ran like dirty ., bitch'll damage popping wheelies, k trey, call land (pop, pop, pop) let drive inside bros laying work bitch, open like fuck stove, make jump without hand need molly savage, uh  molly, feel savage, uh, uh definition bad bitch stole her,  definition bandit, uh, ayy need molly savage, uh, ayy  molly, feel savage ayy, girl definition bad bitch stole heart,  definition bandit"
12,Beautiful People,Ed Sheeran Featuring Khalid,13,13,14,17,"are, are, ما هستیم، هستیم، هستیم ... l.a. saturday night summer توی لس آنجلس و شب شنبه چله ی تابستون sundown come خورشید غروب میکنه و همه میریزن بیرون lamborghinis rented hummers با لامبورگینی ها و هامر های اجاره شدشون party's on, they're headin' downtown ('round here) پارتی شروع میشه، پس اونا دارن میان سمت مرکز شهر (دور و بر اینجا) everybody's lookin' come همه دنبال اینن که سریعتر آماده بشن و برسن به پارتی (ایهام، همه دنبال طلوع و روشنایی خورشید میگردن) wanna know و اونا میخوان بدونن که نظر تو چیه middle one love من و کسی که دوسش دارم وسطای راهیم و ... we're tryna figure everything فقط داریم تلاش میکنیم که از همه چی سر در بیاریم fit well 'cause خوب با همدیگه کنار نمیایم چونکه ما فقط خودمونیم could use help gettin' conversation, yeah میتونستم یه ذره کمگ بگیرم که از این بحث و جدل بکشیم بیرون، آره look stunning, dear, ask question خیلی خوشگل شدی(به نظر میای)، عزیزم، پس دیگه اون سوالو اینجا نپرس fear: become تنها ترسم اینه که: بشیم مثل .... beautiful people آدمای خوشگل drop top, designer clothes با ماشینای بدون سقفشون، و لباسای مارک دارشون front row fashion shows توی ردیف جلویی نمایش مد (فشن شو) میشینن 'what d' do?' 'who d' know?' چی کار میکنی؟ و چی میدونی؟ inside world beautiful people توی دنیای آدمای خوشگل champagne rolled-up notes شامپاین میزنیم و پولای رول شده رو آماده میکنیم prenups broken homes توافقای قبل از ازدواج و زوج هایی که از همدیگه طلاق گرفتن surrounded, still alone کلی آدم دور و برمونه، اما هنوزم تنهایییم let's leave party بیا این پارتی رو ول کنیم بریم that's (we are, are, are) این رفتار اون کسی که هستیم نیستش (ما هستیم، هستیم، هستیم) beautiful ما خوشگل (پولدار) نیستیم yeah, that's (we are, are, are) اره، این رفتار اون کسی که هستیم نیستش (ما هستیم، هستیم، هستیم) beautiful (beautiful) ما خوشگل (پولدار) نیستیم (خوشگل) l.a., mmm, drove hours last night made nowhere (nowhere, nowhere) توی لس آنجلس، ممم، برای چند ساعت آخر شب رانندگی کردیم و به هیچ جا نرسیدیم (هیچ جا، هیچ جا) see stars eyes we're halfway (all night) ستاره هارو توی چشمات میبینم وقتی نصف راهو تا اونجا میریم (تموم شب)  fazed lights flashin' cameras من با همه ی چراغاشون و فلش دوربیناشون به هم ریخته نمیشم (حواسم از تو پرت نمیشه) 'cause arms around , there's need care چونکه با دستایی که تورو بغل کردن، دیگه نیازی به اهمیت دادن به اونا ندارم fit well, خوب با همدیگه کنار نمیایم چونکه ما فقط خودمونیم could use help gettin' conversation, yeah میتونستم یه ذره کمگ بگیرم که از این بحث و جدل بکشیم بیرون، آره look stunning, dear, ask question خیلی خوشگل شدی، عزیزم، پس دیگه اون سوالو اینجا نپرس fear: become تنها ترسم اینه که: بشیم مثل .... beautiful people آدمای خوشگل drop top, designer clothes با ماشینای بدون سقفشون، و لباسای مارک دارشون front row fashion shows توی ردیف جلویی نمایش مد (فشن شو) میشینن 'what d' do?' 'who d' know?' چی کار میکنی؟ و چی میدونی؟ inside world beautiful people توی دنیای آدمای خوشگل champagne rolled-up notes شامپاین میزنیم و پولای رول شده رو آماده میکنیم prenups broken homes توافقای قبل از ازدواج و زوج هایی که از همدیگه طلاق گرفتن surrounded, still alone کلی آدم دور و برمونه، اما هنوزم تنهایییم let's leave party بیا این پارتی رو ول کنیم بریم that's (we are, are, are) این رفتار اون کسی که هستیم نیستش (ما هستیم، هستیم، هستیم) beautiful, yeah ما خوشگل (پولدار) نیستیم yeah, that's (we are, are, are) اره، این رفتار اون کسی که هستیم نیستش (ما هستیم، هستیم، هستیم) beautiful (beautiful) ما خوشگل (پولدار) نیستیم (خوشگل) are, are, ما هستیم، هستیم، هستیم ... beautiful ما خوشگل نیستیم"
13,Good As Hell,Lizzo,14,14,20,9,"hair toss, check nails baby, feelin'? (feelin' good hell) hair toss, check nails baby, feelin'? (feelin' good hell) woo, child, tired bullshit go on, dust shoulders off, keep moving yes, lord, tryna get new shit there, swimwear, going-to-the-pool shit come now, come dry eyes know star, touch sky know hard try need advice, let simplify love anymore walk fine ass door hair toss, check nails baby, feelin'? (feelin' good hell) hair toss, check nails baby, feelin'? (feelin' good hell) (feeling good hell) baby, feelin'? (feelin' good hell) woo, girl, need kick shoes gotta take deep breath, time focus big fights, long nights got bottle tequila saving boss change life all, sacrifice know wrong, make right go let hang tonight 'cause love anymore walk fine ass door hair toss, check nails baby, feelin'? (feelin' good hell) hair toss, check nails baby, feelin'? (feelin' good hell) (show tonight) hair toss, check nails baby, feelin'? (feelin' good hell) (and gon' alright) hair toss, check nails baby, feelin'? (feelin' good hell) hmm, yeah, alright listen, love anymore walk fine ass door hair toss, check nails baby, feelin'? (feelin' good hell) (woo-hoo) hair toss, check nails baby, feelin'? (feelin' good hell) (show tonight) hair toss, check nails baby, feelin'? (feelin' good hell) (and gon' make right) hair toss, check nails baby, feelin'? (feelin' good hell) (feelin' good hell) baby, feelin'? (feelin' good hell)"
14,Lose You To Love Me,Selena Gomez,15,15,0,1,"promised world fell put first adored set fires forest let burn sang off-key chorus 'cause saw signs ignored rose-colored glasses distorted set fire purpose let burn got hurtin' rs, yeah we'd always go blindly needed lose find dancing killing softly needed hate love me, yeah love, love, yeah love, love, yeah love, yeah needed lose love me, yeah love, love, yeah love, love, yeah love, yeah needed lose love gave know tore showing two months, replaced us like easy made think deserved thick healing, yeah we'd always go blindly needed lose find dancing killing softly needed hate love me, yeah love, love, yeah love, love, yeah love, yeah needed lose love me, yeah love, love, yeah love, love, yeah love, yeah needed lose love promised world fell put first adored set fires forest let burn sang off-key chorus love, love, yeah love, love, yeah love, yeah needed hate love me, yeah love, love, yeah love, love, yeah love, yeah needed lose love love, love, yeah love, love, yeah love, yeah chapter closed done love, love, yeah love, love, yeah love, yeah goodbye, goodbye us"
15,I Don't Care,Ed Sheeran & Justin Bieber,16,2,15,24," party wanna ever wear suit tie, yeah wonderin' could sneak back nobody's even lookin' eyes take hand finish drink, say, 'shall dance?' (hell, yeah) know love ya, ever tell ya? make better like think fit party everyone's got much say (yeah) always feel like  nobody, mmm wants fit anyway? 'cause care  baby, yeah bad things disappear making feel like maybe somebody deal bad nights  baby, yeah ooh, ooh, ooh, ooh, ooh, ooh 'cause care long hold near take anywhere making feel like  loved somebody deal bad nights  baby, yeah ooh, ooh, ooh, ooh, ooh, ooh party wanna tryna talk, can't hear read lips, i'd rather kiss 'em right back people around  crippled anxiety  told  s'posed know what? kinda crazy 'cause really mind make better like think fit party everyone's got much say, oh yeah, yeah walked in, said  sorry, mmm think stay 'cause care  baby, yeah bad things disappear yeah, making feel like maybe somebody deal bad nights  baby, yeah ooh, ooh, ooh, ooh, ooh, ooh (oh yeah, yeah, yeah) 'cause care long hold near take anywhere making feel like  loved somebody deal bad nights  baby, yeah ooh, ooh, ooh, ooh, ooh, ooh (no) like nobody , like one like nobody , baby, care like nobody , hate everyone like nobody , baby, yeah 'cause care (don't care)  baby, yeah (oh yeah) bad things disappear (disappear) making feel like maybe somebody (maybe  somebody) deal bad nights (with bad nights)  baby, yeah ooh, ooh, ooh, ooh, ooh, ooh (oh yeah, yeah, yeah) 'cause care long hold near (me near) take anywhere (anywhere, anywhere) making feel like  loved somebody ( loved somebody, yeah, yeah, yeah) deal bad nights  baby, yeah ooh, ooh, ooh, ooh, ooh, ooh"
16,Goodbyes,Post Malone Featuring Young Thug,17,3,13,16,"contents present: pm awards & accomplishments appearances & shows april , : post malone performs lollapalooza brazil march , : post malone performs lollapalooza argentina discography july , : post malone releases 'goodbyes' featuring ng thug december , : post malone releases 'wow.' october , : post malone releases 'sunflower' alongside swae lee filmography july , : post malone releases music video 'goodbyes' march , : post malone releases music video 'wow.' april , : mass appeal releases documentary 'post malone rockstar' interviews -: beerbongs & bentleys awards & accomplishments appearances & shows february , : post malone performs st annual grammy awards alongside red hot chili peppers october , : first annual postyfest august , : post malone performs mtv vmas savage aerosmith august , : post malone performs lollapalooza discography april , : post malone releases second studio album, beerbongs & bentleys february , : post malone releases third single, 'psycho' october , : post malone re-releases 'candy paint' second single september , : post malone releases first single, 'rockstar' april , : post malone releases 'candy paint' filmography october , : post malone releases music video 'better now' march , : post malone releases music video 'psycho' november , : post malone releases music video 'rockstar' interviews december , : gq interview -: stoney awards & accomplishments appearances & shows discography december , post malone releases first studio album, stoney november , : september , : april , : october , : august , : post malone officially releases 'white iverson' republic records first single filmography january , : post malone releases music video 'congratulations' april , : post malone releases music video 'go flex' october , : post malone releases music video 'too ng' interviews september , : noisey interview - : august th awards & accomplishments appearances & shows discography may , : post malone releases first mixtape, august th february , : post malone releases 'white iverson' soundcloud filmography july , : post malone releases music video 'white iverson' interviews music beginnings awards & accomplishments appearances & shows discography filmography interviews"
17,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,18,1,16,34,"oh, oh-oh oh yeah,  gonna take horse old town road  gonna ride 'til can't  gonna take horse old town road  gonna ride 'til can't got horses back horse tack attached hat matte black got boots that's black match ridin' horse, ha whip porsche valley ain't porch, can't nobody tell nothin' can't tell nothin' can't nobody tell nothin' can't tell nothin' can't nobody tell nothin' can't tell nothin' can't nobody tell nothin' can't tell nothin' hat down, cross town, livin' like rockstar spent lot money brand new guitar baby's got habit: diamond rings fendi sports bras ridin' rodeo maserati sports car got stress, i've  like marlboro man kick back wish could roll back old town road wanna ride 'til can't yeah,  gonna take horse old town road  gonna ride 'til can't  gonna take horse old town road  gonna ride 'til can't  gonna take horse old town road  gonna ride 'til can't  gonna take horse old town road  gonna ride 'til can't yeah,  gonna take horse old town road  gonna ride 'til can't  gonna take horse old town road  gonna ride 'til can't  gonna take horse old town road  gonna ride 'til can't  gonna take horse old town road  gonna ride 'til can't"
18,Trampoline,SHAED,19,18,21,21,i've havin' dreams jumpin' trampoline flippin' air never land float  looking suddenly sky erupts flames alight trees spread fallin' leaves they're right upon wait  fire deep love? dream dying never feel loved (so loved) i've havin' dreams splashin' summer stream trip fall wanted happen body turns ice crushin' weight paradise solid block gold lying cold feel right home wait  fire deep love? dream dying never feel loved wait  fire deep love? dream dying never feel loved never feel loved la la la la la la la la la la la la la la la la la la la la la la la la wait  fire deep love? dream dying never feel loved wait  fire deep love? dream dying never feel loved
19,Only Human,Jonas Brothers,20,20,24,19,"yeah, ayy want night end it’s closing time, leave (yeah) got love spend, oh let's find place happiness begins gon' dance living room, slave way move hurts i’m leaving (ayy) dance living room, love attitude drunk 's groove (ayy) gon' dance living room, slave way move hurts  leaving (ayy) dance living room, love attitude drunk human, know real would fight try deny way feel? oh, babe, can't fool me, body's got plans stop pretending ’re shy, come dance, dance, dance, dance, oh early morning la-la-light getting close blinds, oh i’m praying change mind ’cause leaving feel right let's one time, oh babe gon' dance living room, slave way move hurts i’m leaving (hurts  leaving ) dance living room, love attitude drunk 's groove (ayy) gon' dance living room, slave way move hurts  leaving (ayy) dance living room, love attitude drunk human, know real (know real) would fight try deny way feel? (the way feel) oh, babe, can't fool me, body's got plans stop pretending shy, come dance, dance, dance, dance, oh dance, oh (woo, ayy) human (-man), (-man) human oh yeah, yeah, yeah human (-man), (-man) human"
