Title,Artist,Rank,Peak Position,Last Position,Weeks
"Southbound","Carrie Underwood",88,64,64,13
"RAW SHIT","DaBaby Featuring Migos",90,51,51,2
"Potential","Summer Walker",92,92,0,1
"Right Back","Khalid Featuring A Boogie Wit da Hoodie",93,73,88,11
"Die For Me","Post Malone Featuring Future & Halsey",94,20,80,5
"POP STAR","DaBaby Featuring Kevin Gates",97,49,49,2
"No Me Conoce","Jhay Cortez, J Balvin & Bad Bunny",99,71,97,14
"Without Me","Halsey",33,1,34,52
"iPHONE","DaBaby & Nicki Minaj",43,43,0,1
"OFF THE RIP","DaBaby",47,47,0,1
"GOSPEL","DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",55,55,0,1
"REALLY","DaBaby Featuring Stunna 4 Vegas",63,63,0,1
"XXL","DaBaby",69,69,0,1
"PROLLY HEARD","DaBaby",73,73,0,1
"Chicken Noodle Soup","j-hope Featuring Becky G.",81,81,0,1
"By My Lonely","Kevin Gates",86,86,0,1
"On The Road","Post Malone Featuring Meek Mill & Lil Baby",87,22,63,4
"There He Go","DaBaby",89,89,0,1
"The Ones That Didn't Make It Back Home","Justin Moore",92,46,72,16
"Adicto","Tainy, Anuel AA & Ozuna",98,86,86,2
"Did It Again","Lil Tecca",100,64,84,7
"Pop Out","Polo G Featuring Lil Tjay",42,11,37,27
"Beer Never Broke My Heart","Luke Combs",45,21,44,21
"Speechless","Dan + Shay",46,24,46,40
"Knockin' Boots","Luke Bryan",50,31,41,22
"Behind Barz","Drake",83,75,75,2
"A Thousand Bad Times","Post Malone",88,29,60,3
"Stuck In A Dream","Lil Mosey x Gunna",93,93,0,1
"It's You","Ali Gatie",94,70,93,15
"Slide Away","Miley Cyrus",95,47,89,6
"Loco Contigo","DJ Snake, J. Balvin & Tyga",96,96,0,1
"Shameless","Camila Cabello",97,60,95,3
"Queen Of Mean","Sarah Jeffery",98,49,79,8
"Rearview Town","Jason Aldean",99,40,92,18
"Staring At The Sun","Post Malone Featuring SZA",70,34,34,2
"I'm Gonna Be","Post Malone",71,33,33,2
"Mood Swings","A Boogie Wit da Hoodie",76,76,0,1
"All To Myself","Dan + Shay",77,31,67,20
"Allergic","Post Malone",78,37,37,2
"Press","Cardi B",90,16,84,16
"1, 2 Many","Luke Combs & Brooks & Dunn",97,97,0,1
"Hey Look Ma, I Made It","Panic! At The Disco",50,16,39,22
"Myself","Post Malone",52,52,0,1
"I Know","Post Malone",53,53,0,1
"Internet","Post Malone",58,58,0,1
"homecoming queen?","Kelsea Ballerini",82,82,0,1
"Buy My Own Drinks","Runaway June",88,88,92,5
"Easier","5 Seconds Of Summer",90,48,62,16
"Baguettes In The Face","Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",95,81,81,6
"The Man","Taylor Swift",96,23,61,3
"Go Loko","YG, Tyga & Jon Z",98,49,87,19
"Doin' Time","Lana Del Rey",100,59,59,2
"7 Rings","Ariana Grande",40,1,43,33
"Whiskey Glasses","Morgan Wallen",43,17,47,27
"God's Country","Blake Shelton",44,17,46,23
"Shotta Flow","NLE Choppa",46,36,50,20
"ME!","Taylor Swift Featuring Brendon Urie",54,2,11,20
"Babushka Boi","A$AP Rocky",69,69,0,1
