its,47
wave,46
wanted,46
tears,46
started,46
skin,46
safe,46
rack,46
quer,46
number,46
malone,46
k,46
count,46
club,46
answer,46
yeh,45
twerk,45
sure,45
space,45
meet,45
looking,45
london,45
hagel,45
gaan,45
dat,45
chanel,45
chairman,45
cannot,45
star,44
sim,44
s,44
ma,44
loog,44
fucking,44
fake,44
drunk,44
angel,44
worth,43
waste,43
trying,43
talking,43
step,43
sound,43
sometimes,43
rodeo,43
queen,43
por,43
more,43
lit,43
lately,43
king,43
jump,43
and,43
west,42
support,42
rather,42
lips,42
earth,42
drake,42
cuando,42
cardi,42
broken,42
blueface,42
wow,41
with,41
why,41
ty,41
six,41
shows,41
prolly,41
ocean,41
louis,41
lick,41
kids,41
daylight,41
bien,41
air,41
z,40
whatever,40
taking,40
suicide,40
stick,40
perfect,40
nice,40
magic,40
lord,40
hmm,40
hide,40
fn,40
double,40
dolla,40
decision,40
con,40
boys,40
behind,40
be,40
view,39
thinking,39
thang,39
stuck,39
sit,39
shine,39
nose,39
moment,39
mask,39
makin,39
makes,39
less,39
ik,39
ign,39
fun,39
full,39
falling,39
diamond,39
dawg,39
chopsticks,39
case,39
been,39
august,39
anybody,39
aimin,39
yung,38
worse,38
wonder,38
we,38
thug,38
security,38
sauce,38
promise,38
needed,38
means,38
luck,38
hurts,38
heat,38
drinkin,38
dangerous,38
ball,38
um,37
sad,37
problems,37
para,37
i’m,37
goes,37
facts,37
dreams,37
chance,37
block,37
bank,37
actin,37
speed,36
saying,36
rest,36
pray,36
picture,36
park,36
minute,36
limited,36
hello,36
goodbye,36
gets,36
dumb,36
crown,36
chicken,36
breathin,36
boogie,36
asking,36
are,36
april,36
ahora,36
working,35
wants,35
too,35
sick,35
resolution,35
reason,35
read,35
rapper,35
psycho,35
not,35
megan,35
ha,35
guy,35
foreign,35
committee,35
clout,35
california,35
brrt,35
allies,35
afraid,35
word,34
woman,34
wall,34
ti,34
skate,34
ring,34
rap,34
push,34
press,34
porque,34
outside,34
meek,34
loud,34
june,34
january,34
hopes,34
half,34
du,34
drugs,34
chase,34
chain,34
boss,34
bet,34
whether,33
when,33
voor,33
thot,33
story,33
stallion,33
spend,33
paul,33
motion,33
mood,33
montana,33
mm,33
mich,33
kim,33
jay,33
iran,33
international,33
intelligence,33
how,33
gether,33
force,33
fool,33
ferg,33
coast,33
capacity,33
bar,33
them,32
region,32
ran,32
ouais,32
listen,32
jumpin,32
james,32
hoo,32
happy,32
hah,32
green,32
grande,32
finally,32
feelings,32
dirty,32
death,32
brothers,32
ariana,32
week,31
thee,31
tellin,31
tegen,31
stylist,31
strong,31
soup,31
slime,31
rose,31
noodle,31
national,31
mouth,31
mill,31
lalala,31
john,31
iraq,31
hood,31
dime,31
carti,31
agree,31
words,30
wenn,30
tried,30
treat,30
stupid,30
south,30
sin,30
shut,30
school,30
raised,30
r,30
potential,30
mane,30
las,30
july,30
gunna,30
forward,30
fans,30
dress,30
das,30
corker,30
boyfriend,30
at,30
america,30
yet,29
win,29
tory,29
state,29
spent,29
son,29
problem,29
playboi,29
petras,29
paid,29
